Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
49272,57703.69999999999,23400,21600,10800
49273,34595,19800,18000,3600
49274,26309.65,21600,18000,1800
49275,41657.15,21600,19800,7200
49276,19952.25,18000,10800,1800
49277,40141.04999999999,16200,14400,9000
49278,49247.45000000001,18000,18000,10800
49279,67592.85,27000,27000,12600
4928,41375.6,27000,18000,5400
49280,56452.249999999985,25200,23400,5400
49281,30341.100000000006,23400,14400,3600
49282,38467.75,18000,16200,5400
49283,62671.54999999999,27000,25200,9000
49284,53654.85,28800,21600,10800
49285,30062.050000000003,16200,12600,5400
49286,51876.25,30600,21600,7200
49287,47269,25200,19800,7200
49288,38606.45,21600,19800,3600
49289,44693.7,21600,16200,1800
4929,54708.75,30600,25200,7200
49290,38650.79999999999,21600,19800,5400
49291,89672.29999999999,27000,25200,12600
49292,85719.65,34200,32400,19800
49293,32977.00000000001,16200,14400,5400
49294,51498.80000000001,23400,21600,10800
49295,67070.34999999999,27000,19800,10800
49296,49227.899999999994,25200,19800,7200
49297,30239.600000000006,23400,23400,0
49298,42717.59999999999,27000,18000,9000
49299,48931.75,23400,19800,9000
4930,75219.14999999997,27000,23400,12600
49300,40241.29999999999,18000,14400,3600
49301,55485.85,28800,25200,9000
49302,46123.999999999985,21600,16200,7200
49303,49375.3,25200,23400,7200
49304,57785.85000000001,21600,21600,7200
49305,60422.55,25200,25200,7200
49306,37938.25000000001,28800,23400,3600
49307,54775.55,21600,21600,7200
49308,23927.4,16200,10800,3600
49309,58838.24999999999,28800,23400,3600
4931,46826.899999999994,25200,19800,5400
49310,47937.04999999999,28800,23400,7200
49311,30142.650000000005,21600,14400,3600
49312,66348.45,23400,19800,7200
49313,51970.2,19800,18000,7200
49314,35106.65,23400,19800,3600
49315,57459.99999999999,25200,19800,9000
49316,24653.4,19800,12600,1800
49317,51067.14999999999,21600,16200,7200
49318,45357.850000000006,23400,19800,9000
49319,43601.5,25200,21600,5400
4932,47017.74999999999,27000,25200,7200
49320,38598.85,16200,14400,7200
49321,38055.850000000006,25200,21600,5400
49322,53759.94999999999,23400,21600,7200
49323,41004.899999999994,21600,19800,5400
49324,54784,30600,27000,5400
49325,48380.94999999999,23400,18000,9000
49326,22380.299999999992,19800,10800,1800
49327,20598.950000000004,14400,7200,3600
49328,35627.55,30600,25200,1800
49329,51173,27000,19800,7200
4933,67770.15,27000,21600,10800
49330,49297.04999999999,21600,19800,9000
49331,68210.09999999999,27000,23400,16200
49332,60457.85,36000,34200,7200
49333,29555.100000000006,23400,18000,1800
49334,47126.9,28800,19800,7200
49335,31091.200000000004,14400,10800,5400
49336,54060.399999999994,27000,23400,9000
49337,53215.14999999999,25200,23400,9000
49338,58585.249999999985,25200,19800,12600
49339,64472.79999999999,25200,19800,7200
4934,40738.45,25200,21600,5400
49340,61219.5,28800,19800,5400
49341,28900.9,18000,12600,3600
49342,56265.15,27000,21600,5400
49343,57987.24999999999,27000,23400,10800
49344,35941.85,18000,18000,5400
49345,29846.950000000004,14400,10800,5400
49346,36787.45,21600,18000,3600
49347,64520.1,21600,19800,9000
49348,56563.54999999999,27000,23400,10800
49349,38823.6,21600,18000,3600
4935,47722.899999999994,28800,21600,3600
49350,70096.95,23400,19800,9000
49351,25739.749999999996,23400,14400,1800
49352,42125.75000000001,16200,16200,7200
49353,45258.75,14400,12600,7200
49354,64577.399999999994,25200,19800,10800
49355,43233.24999999999,27000,25200,3600
49356,47847.100000000006,23400,19800,7200
49357,66192.40000000001,28800,27000,7200
49358,52566.19999999999,27000,23400,9000
49359,49955.34999999999,28800,19800,7200
4936,49116.7,27000,23400,7200
49360,46262.54999999999,23400,19800,7200
49361,55804.25,18000,16200,9000
49362,54390.649999999994,23400,21600,9000
49363,32952.59999999999,19800,18000,3600
49364,68393.4,27000,19800,12600
49365,36529.549999999996,27000,16200,5400
49366,36099.7,23400,16200,5400
49367,47829.89999999999,28800,23400,7200
49368,55155.24999999999,21600,21600,9000
49369,39413.65,28800,23400,3600
4937,40307.04999999999,21600,18000,7200
49370,44223.25000000001,18000,16200,3600
49371,23402.949999999997,16200,14400,1800
49372,52948.2,25200,21600,9000
49373,27713.5,14400,10800,1800
49374,42168.24999999999,23400,19800,3600
49375,51807.05,21600,19800,10800
49376,19130.2,18000,10800,1800
49377,46454.9,23400,21600,7200
49378,47765.35,23400,23400,9000
49379,32624.65,27000,18000,3600
4938,40084.14999999999,27000,19800,3600
49380,58947.2,23400,19800,9000
49381,54313.2,21600,18000,9000
49382,48668.04999999999,30600,21600,9000
49383,31521.85,25200,18000,3600
49384,37815.4,25200,21600,3600
49385,31983.250000000007,19800,16200,5400
49386,29979.65,18000,12600,3600
49387,48032.55,23400,19800,9000
49388,40680.4,25200,23400,3600
49389,68311.45,27000,21600,12600
4939,12197.6,14400,9000,0
49390,23847.300000000003,18000,10800,1800
49391,43320.249999999985,27000,14400,5400
49392,74373.04999999999,28800,27000,12600
49393,47580.24999999999,19800,18000,9000
49394,78963.7,27000,21600,10800
49395,49945.1,23400,16200,10800
49396,42565.34999999999,16200,16200,9000
49397,43730.95,25200,19800,5400
49398,77868.54999999999,28800,21600,12600
49399,46315.24999999999,23400,21600,7200
4940,46876.64999999999,25200,19800,9000
49400,45695.29999999999,25200,21600,7200
49401,40885.7,25200,21600,5400
49402,48553.99999999999,21600,19800,7200
49403,36250.799999999996,23400,19800,3600
49404,41879.70000000001,18000,14400,3600
49405,58663,30600,19800,9000
49406,48958.15,23400,21600,10800
49407,23665.75,28800,12600,1800
49408,29259.899999999994,19800,18000,1800
49409,30721.999999999996,18000,10800,7200
4941,70350,25200,19800,9000
49410,65908.95000000001,30600,27000,12600
49411,38911,14400,7200,7200
49412,34354.700000000004,25200,16200,5400
49413,44937.1,27000,18000,7200
49414,72971.45,27000,21600,10800
49415,24237.550000000003,21600,12600,3600
49416,52162.75000000001,25200,19800,9000
49417,40652.9,16200,14400,7200
49418,71178.6,28800,27000,10800
49419,54607.350000000006,30600,27000,5400
4942,43164.1,19800,14400,5400
49420,23035.2,16200,9000,5400
49421,47369,23400,16200,5400
49422,39037.149999999994,19800,16200,5400
49423,33135.75,30600,23400,1800
49424,66706.4,21600,21600,9000
49425,28541.45,19800,14400,3600
49426,44745.7,25200,18000,5400
49427,57344.39999999999,25200,21600,12600
49428,30194.400000000005,19800,12600,3600
49429,41125.55,21600,18000,7200
4943,37526.100000000006,14400,10800,5400
49430,52192.49999999999,25200,23400,9000
49431,46485.19999999999,18000,12600,5400
49432,60656.7,21600,18000,9000
49433,48072.15,19800,19800,7200
49434,60763.54999999999,25200,25200,5400
49435,56849.00000000001,27000,25200,9000
49436,34593.850000000006,25200,21600,3600
49437,71815.85,27000,23400,12600
49438,20312.600000000006,19800,12600,1800
49439,38507.4,14400,10800,5400
4944,50899.99999999999,27000,23400,7200
49440,38763.100000000006,21600,21600,5400
49441,23579.65,23400,14400,0
49442,15174.15,9000,7200,1800
49443,25471.149999999994,18000,10800,3600
49444,53272.29999999999,25200,21600,7200
49445,38254.80000000001,19800,14400,5400
49446,20088.899999999994,19800,12600,1800
49447,37236.55,21600,19800,5400
49448,38052.49999999999,23400,21600,5400
49449,38196.70000000001,25200,19800,7200
4945,40047.89999999999,21600,14400,9000
49450,31659.599999999995,16200,12600,5400
49451,49782.85,19800,16200,5400
49452,37676.75,18000,16200,5400
49453,28260.850000000006,25200,12600,1800
49454,63469.09999999999,18000,18000,10800
49455,55680.94999999999,28800,19800,9000
49456,48760.8,19800,16200,7200
49457,61357.84999999999,27000,23400,10800
49458,35525.05,23400,14400,5400
49459,38953.600000000006,23400,18000,5400
4946,31151.95,18000,14400,1800
49460,44178.15,14400,10800,7200
49461,24819.1,23400,16200,1800
49462,42536.74999999999,19800,14400,1800
49463,45764.35,21600,16200,5400
49464,68589.75,27000,23400,10800
49465,57340.149999999994,25200,21600,5400
49466,36106.200000000004,23400,19800,1800
49467,55266.05000000001,25200,19800,9000
49468,35624.95,16200,12600,5400
49469,69675.59999999999,28800,27000,12600
4947,38477.74999999999,21600,18000,5400
49470,32596.899999999994,19800,16200,3600
49471,40737.20000000001,21600,18000,7200
49472,33214.4,27000,18000,1800
49473,37482.35,21600,16200,5400
49474,49367.95,27000,23400,5400
49475,76243.8,27000,25200,14400
49476,80651.39999999998,27000,25200,16200
49477,39182.75,23400,21600,3600
49478,44893.29999999999,23400,18000,7200
49479,70460.84999999999,23400,23400,12600
4948,47357.9,27000,25200,3600
49480,32478.550000000003,21600,18000,3600
49481,54818.85,25200,23400,10800
49482,30651.999999999996,16200,12600,5400
49483,36946.6,25200,21600,3600
49484,38227.05,16200,16200,5400
49485,56441.34999999999,21600,19800,9000
49486,43024.75,19800,12600,7200
49487,42603.95000000001,19800,18000,9000
49488,34352.8,18000,12600,7200
49489,30497.8,18000,16200,1800
4949,42279.649999999994,21600,18000,7200
49490,60803.80000000001,28800,25200,10800
49491,34462.25000000001,23400,16200,3600
49492,62186.399999999994,30600,27000,9000
49493,32238.65,19800,12600,7200
49494,37636.1,18000,14400,7200
49495,37175.4,23400,16200,5400
49496,36569.6,23400,19800,5400
49497,59700.9,30600,25200,10800
49498,74385.25,25200,25200,10800
49499,68168.75,27000,25200,12600
4950,60314.44999999999,21600,18000,9000
49500,38107.45000000001,21600,19800,5400
49501,57301.70000000001,25200,19800,12600
49502,52150.9,27000,23400,9000
49503,33713.899999999994,16200,12600,7200
49504,36690.599999999984,21600,18000,5400
49505,30437.6,18000,18000,3600
49506,33426.299999999996,25200,18000,3600
49507,42482.600000000006,18000,16200,7200
49508,49747.15,23400,18000,7200
49509,37464.600000000006,21600,16200,3600
4951,47573.85,19800,16200,7200
49510,43671.74999999999,25200,18000,5400
49511,55811.04999999999,30600,25200,10800
49512,15525.500000000004,18000,10800,0
49513,48511.20000000001,28800,23400,7200
49514,56643.45000000001,23400,19800,7200
49515,45742.74999999999,21600,19800,7200
49516,30271.499999999996,23400,16200,5400
49517,49322.2,25200,23400,5400
49518,41960.04999999999,23400,19800,9000
49519,28638.2,19800,16200,1800
4952,63051.95,23400,19800,9000
49520,41518.54999999999,30600,19800,3600
49521,41773.54999999999,28800,25200,3600
49522,40698.649999999994,21600,19800,5400
49523,26307.1,16200,14400,1800
49524,55153.64999999999,21600,12600,10800
49525,74782.25000000001,23400,21600,10800
49526,45091.2,19800,18000,3600
49527,42301.4,16200,16200,9000
49528,59985.64999999999,28800,25200,7200
49529,31035.700000000004,16200,12600,5400
4953,80873.65000000002,25200,23400,16200
49530,19983.349999999995,25200,12600,0
49531,29647.050000000007,21600,18000,0
49532,57148.65,28800,23400,9000
49533,33199.9,28800,16200,3600
49534,49348.74999999999,27000,19800,7200
49535,48948.30000000001,21600,18000,5400
49536,67601.25,27000,23400,10800
49537,70749.9,34200,25200,14400
49538,40640.09999999999,25200,18000,7200
49539,49185.29999999999,27000,21600,3600
4954,39257.95,21600,19800,3600
49540,25595.399999999994,23400,16200,3600
49541,74648.34999999998,25200,23400,9000
49542,58173.04999999999,21600,16200,10800
49543,28663.95,21600,12600,5400
49544,56790.99999999999,19800,18000,12600
49545,41091.9,18000,16200,7200
49546,31305.250000000007,18000,18000,3600
49547,44511.79999999999,19800,16200,5400
49548,22417.899999999994,18000,10800,1800
49549,75968.75,30600,23400,12600
4955,50237.19999999999,23400,19800,9000
49550,58076.25000000001,28800,27000,10800
49551,41496.95,25200,19800,7200
49552,31454.3,18000,12600,5400
49553,38553.899999999994,23400,21600,3600
49554,36930.15,27000,21600,3600
49555,38382.35,18000,12600,9000
49556,53223.95,30600,21600,7200
49557,36384.049999999996,27000,14400,5400
49558,67859.90000000001,27000,21600,12600
49559,72839.09999999999,27000,23400,10800
4956,35687.45,18000,12600,7200
49560,52428.09999999999,23400,18000,5400
49561,40238.7,23400,21600,7200
49562,61964.75,19800,19800,10800
49563,60566.95,27000,23400,7200
49564,45695.1,25200,12600,7200
49565,44743.85,25200,21600,7200
49566,30758.75,21600,14400,3600
49567,55721.749999999985,19800,16200,10800
49568,77453.85,23400,21600,10800
49569,79966.4,25200,21600,12600
4957,63635.39999999999,27000,23400,10800
49570,43930.55,23400,21600,7200
49571,52478.69999999998,19800,18000,7200
49572,28128.3,19800,16200,5400
49573,32678.350000000006,23400,16200,3600
49574,61299.850000000006,27000,21600,9000
49575,64758.79999999999,25200,19800,10800
49576,46631.24999999999,19800,19800,5400
49577,90389.65000000002,28800,25200,14400
49578,61165.84999999999,21600,18000,12600
49579,49180.3,18000,16200,5400
4958,53237,19800,19800,5400
49580,28228.05,14400,12600,5400
49581,33093.30000000001,27000,18000,3600
49582,64049.84999999999,30600,19800,12600
49583,65892.65,28800,21600,9000
49584,62163.65,21600,19800,10800
49585,34748.34999999999,23400,16200,5400
49586,41302.8,19800,18000,5400
49587,43031.85,23400,16200,9000
49588,29971.99999999999,21600,19800,1800
49589,44037.39999999999,23400,18000,3600
4959,42750.99999999999,18000,9000,9000
49590,58549.35,25200,16200,10800
49591,42568.74999999999,16200,16200,3600
49592,45668.349999999984,23400,18000,9000
49593,40479.55,25200,18000,7200
49594,37751.8,27000,19800,5400
49595,22661.949999999993,21600,10800,1800
49596,39865.85,28800,19800,5400
49597,27219.450000000008,14400,10800,3600
49598,41672.29999999999,21600,18000,7200
49599,80335.55,32400,28800,14400
4960,34911.25,12600,12600,7200
49600,32192,23400,16200,5400
49601,50488.95,25200,16200,7200
49602,51826.5,23400,21600,7200
49603,49151.95,28800,21600,7200
49604,40309.4,25200,18000,7200
49605,38596.7,21600,19800,7200
49606,47376.99999999999,28800,21600,7200
49607,52320,19800,19800,10800
49608,28085.399999999994,23400,18000,3600
49609,60381.599999999984,21600,19800,9000
4961,46542.6,30600,16200,9000
49610,27216.699999999993,21600,14400,3600
49611,60023.59999999999,25200,19800,9000
49612,72848.49999999999,25200,23400,9000
49613,33540.55,16200,16200,7200
49614,62504.84999999999,28800,25200,12600
49615,49599.44999999999,16200,16200,7200
49616,49722.000000000015,30600,27000,7200
49617,38680.45000000001,25200,19800,5400
49618,54559.04999999999,21600,16200,12600
49619,47894.90000000001,25200,25200,7200
4962,51030.850000000006,30600,23400,7200
49620,42129.399999999994,27000,21600,5400
49621,47462.600000000006,25200,21600,9000
49622,31935.84999999999,25200,19800,3600
49623,39707.399999999994,21600,19800,7200
49624,81348.59999999998,30600,27000,10800
49625,49373.74999999999,27000,21600,9000
49626,40194.649999999994,25200,18000,3600
49627,71879.44999999998,21600,19800,9000
49628,50286.74999999999,25200,23400,5400
