Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0242,40602.9,23400,18000,7200
0243,53033.70000000001,23400,16200,9000
0244,52224.849999999984,21600,16200,7200
0245,36323.65000000001,25200,21600,1800
0246,38095.35,21600,16200,5400
0247,55637.35,19800,18000,9000
0248,45660.24999999999,25200,18000,7200
0249,57863.15,27000,25200,9000
0250,58279.54999999999,25200,19800,9000
0251,33763.9,19800,16200,5400
0252,48766.84999999999,25200,18000,9000
0253,53561.44999999999,23400,21600,5400
0254,38868.45000000001,21600,18000,7200
0255,39232.94999999999,21600,18000,5400
0256,43591.749999999985,21600,16200,5400
0257,39295.8,23400,19800,5400
0258,54592.29999999999,23400,18000,7200
0259,48487.5,28800,23400,5400
0260,46141.3,21600,16200,9000
0261,36553.9,23400,14400,5400
0262,40547.54999999999,19800,16200,7200
0263,47491.8,18000,14400,7200
0264,38063.599999999984,25200,19800,3600
0265,34181.9,21600,18000,3600
0266,39347.04999999999,19800,16200,9000
0267,28155.900000000005,21600,18000,1800
0268,56000.54999999998,27000,21600,7200
0269,49668.84999999999,27000,19800,9000
0270,33440.45,21600,16200,3600
0271,30573.7,21600,16200,3600
0272,44437.7,25200,16200,9000
0273,46231.4,21600,18000,9000
0274,32025.9,21600,19800,1800
0275,42268.99999999999,23400,21600,5400
0276,57510.39999999999,25200,19800,7200
0277,56440.70000000001,25200,19800,7200
0278,36310.799999999996,23400,16200,5400
0279,54936.999999999985,25200,19800,7200
0280,47828.65,23400,21600,7200
0281,39325.85,18000,14400,9000
0282,36946.649999999994,25200,19800,3600
0283,47490.649999999994,21600,16200,10800
0284,45473,23400,19800,9000
0285,29347.850000000006,16200,14400,3600
0286,51612.85,23400,16200,7200
0287,39749.05,21600,18000,5400
0288,52996.29999999999,27000,19800,5400
0289,50445.649999999994,25200,19800,3600
0290,38084.99999999999,21600,18000,5400
0291,55852.349999999984,19800,16200,9000
0292,53452.15,23400,18000,7200
0293,57078.59999999999,23400,19800,7200
0294,39255.2,21600,18000,5400
0295,36915.65,19800,16200,7200
0296,39361.50000000001,21600,16200,7200
0297,36166.950000000004,23400,19800,3600
0298,34904.8,21600,12600,7200
0299,44727.25,25200,18000,9000
0300,34275.2,23400,18000,3600
0301,32124.500000000004,21600,14400,5400
0302,41400.65,25200,21600,5400
0303,48073.54999999999,21600,16200,5400
0304,36778.09999999999,21600,16200,7200
0305,40350.25,18000,12600,9000
0306,49753.24999999999,21600,19800,5400
0307,57879.39999999999,23400,16200,10800
0308,43747.55,21600,14400,5400
0309,42040.24999999999,25200,21600,3600
0310,52230.099999999984,23400,21600,5400
0311,57956.99999999999,27000,25200,9000
0312,43964.19999999998,18000,16200,5400
0313,49189.75,16200,12600,9000
0314,56775.79999999999,23400,21600,7200
0315,43212.54999999999,23400,19800,7200
0316,35923.850000000006,18000,16200,5400
0317,44768.70000000001,23400,21600,5400
0318,50502.25,23400,21600,9000
0319,53974.29999999999,28800,23400,9000
0320,47470.15,25200,19800,5400
0321,49678.75,25200,19800,3600
0322,44397.4,23400,16200,7200
0323,33958.950000000004,23400,16200,3600
0324,32623.500000000004,19800,19800,3600
0325,58178.55,27000,19800,9000
0326,49599.20000000001,25200,21600,7200
0327,25689.800000000007,23400,14400,1800
0328,47607.70000000001,23400,19800,9000
0329,45050.94999999999,21600,21600,7200
0330,37620.65,23400,19800,5400
0331,40054.14999999999,23400,16200,5400
0332,40474.64999999999,21600,16200,5400
0333,39521.90000000001,21600,18000,7200
0334,36935.05,19800,18000,5400
0335,39367.29999999999,23400,19800,5400
0336,36082.649999999994,23400,18000,3600
0337,49540.54999999999,19800,18000,7200
0338,53139.94999999999,19800,18000,9000
0339,36373.4,21600,16200,5400
0340,42073.15,21600,18000,7200
0341,52814.8,28800,25200,7200
0342,40176.25,25200,21600,5400
0343,39799.79999999999,25200,18000,5400
0344,41309.399999999994,21600,18000,5400
0345,51682.350000000006,21600,18000,7200
0346,48516.1,18000,14400,7200
0347,49541.59999999999,23400,16200,5400
0348,44417.50000000001,21600,19800,7200
0349,44035.35,23400,19800,7200
0350,42746.25,25200,18000,7200
0351,51070.79999999999,21600,19800,9000
0352,51109.9,25200,19800,9000
0353,51888.649999999994,21600,18000,5400
0354,45816.35,21600,19800,7200
0355,51155.44999999999,23400,21600,5400
0356,46473.75,19800,16200,10800
0357,52877.149999999994,21600,19800,7200
0358,52330.45,25200,19800,5400
0359,41020.95000000001,19800,18000,7200
0360,38887.19999999999,23400,19800,3600
0361,40225.05,25200,18000,5400
0362,39740.7,21600,18000,5400
0363,36136.049999999996,21600,18000,5400
0364,36512.24999999999,19800,16200,7200
0365,37493.54999999999,19800,14400,7200
0366,50780.149999999994,21600,18000,5400
0367,43241.24999999999,16200,14400,5400
0368,34815.94999999999,21600,18000,3600
0369,41745.05000000001,19800,12600,5400
0370,57782.44999999999,23400,19800,7200
0371,40712.99999999999,23400,19800,5400
0372,56119.04999999999,25200,16200,9000
0373,57144.69999999998,18000,18000,9000
0374,39794.00000000001,25200,19800,3600
0375,46610.04999999999,19800,14400,7200
0376,53411.25,23400,16200,7200
0377,44975.5,21600,18000,7200
0378,41200.2,25200,18000,7200
0379,58972.899999999994,25200,21600,9000
0380,48000.6,19800,16200,7200
0381,52709.45,23400,18000,10800
0382,51108.04999999999,23400,19800,7200
0383,32269.850000000006,19800,18000,3600
0384,62376.74999999999,25200,21600,9000
0385,48236.79999999998,25200,21600,5400
0386,47213.29999999999,18000,18000,7200
0387,44705.84999999999,21600,18000,5400
0388,48835.9,28800,21600,7200
0389,49875.699999999975,27000,21600,7200
0390,56189.64999999999,21600,18000,9000
0391,36407.95,19800,16200,5400
0392,50122.59999999999,25200,19800,9000
0393,32396.15,19800,14400,3600
0394,48631.29999999999,23400,19800,9000
0395,57112.05,27000,21600,7200
0396,33191.45,21600,16200,5400
0397,44398.25,21600,19800,7200
0398,47603.69999999998,21600,18000,7200
0399,52767.4,25200,21600,3600
0400,43318.65000000001,19800,18000,9000
0401,38502.75,23400,16200,5400
0402,38562.85,23400,19800,5400
0403,40962.4,23400,19800,7200
0404,45798.399999999994,21600,14400,9000
0405,44559.649999999994,23400,19800,7200
0406,47462.7,23400,16200,5400
0407,31227.850000000006,25200,18000,1800
0408,35100.59999999999,21600,16200,5400
0409,46890.79999999999,19800,16200,5400
0410,36621.45,27000,16200,3600
0411,42211.25,25200,23400,3600
0412,44562.85,25200,18000,7200
0413,45727.35000000001,23400,21600,7200
0414,34080.600000000006,18000,14400,7200
0415,55220.999999999985,25200,18000,9000
0416,43275.35,19800,19800,9000
0417,54969.54999999999,18000,18000,9000
0418,46907.09999999999,21600,18000,5400
0419,58445.69999999999,25200,21600,7200
0420,48356.59999999999,19800,16200,7200
0421,32330.950000000008,18000,18000,5400
0422,30597.750000000007,18000,14400,5400
0423,43312.5,25200,19800,7200
0424,49686.99999999999,25200,21600,9000
0425,43897.7,19800,16200,7200
0426,44765.05,23400,18000,7200
0427,35503.34999999999,19800,16200,5400
0428,35083.049999999996,18000,16200,5400
0429,49113.09999999999,25200,18000,9000
0430,40154.95,27000,21600,5400
0431,42409.54999999999,21600,18000,9000
0432,56146.54999999999,25200,21600,9000
0433,54512.89999999999,27000,18000,7200
0434,43151.850000000006,25200,23400,5400
0435,37792.29999999999,25200,18000,3600
0436,51638.6,23400,19800,7200
0437,45325.54999999999,21600,19800,5400
0438,43497.45,21600,18000,7200
0439,56698.29999999999,25200,18000,7200
0440,38944.29999999999,21600,18000,5400
0441,53820.04999999999,21600,18000,7200
0442,36527.74999999999,25200,19800,3600
0443,39707.29999999999,25200,16200,5400
0444,35718.549999999996,25200,18000,5400
0445,50065.95,19800,16200,7200
0446,62230.54999999999,27000,21600,7200
0447,53620.85,23400,19800,7200
0448,52382.34999999999,25200,23400,7200
0449,53766.79999999999,21600,19800,7200
0450,38145.29999999999,21600,18000,5400
0451,56164.6,25200,21600,7200
0452,36875.100000000006,18000,14400,5400
0453,34255.54999999999,23400,14400,5400
0454,57903.99999999999,23400,21600,9000
0455,43987.7,21600,16200,7200
0456,36587.8,23400,14400,7200
0457,49204.69999999999,21600,19800,5400
0458,55531.749999999985,21600,14400,10800
0459,54648.85,25200,21600,7200
0460,39087.94999999999,19800,14400,7200
